Date,GDAXI_OPEN,GDAXI_HIGH,GDAXI_LOW,GDAXI_CLOSE,GDAXI_ADJ_CLOSE,GDAXI_VOLUME,GDAXI_DAILY_RETURNS
2020-06-10,12719.150390625,12763.8896484375,12471.0595703125,12530.16015625,12530.16015625,112489400,-0.6960702654985829
2020-06-11,12223.419921875,12301.9501953125,11970.2900390625,11970.2900390625,11970.2900390625,133278800,-4.4681800568066805
2020-06-12,11876.33984375,12172.6298828125,11828.66015625,11949.2802734375,11949.2802734375,118016300,-0.1755159278216234
2020-06-15,11661.3603515625,11968.0595703125,11597.8203125,11911.349609375,11911.349609375,99879200,-0.31743053300722357
2020-06-16,12168.3701171875,12434.26953125,12132.7998046875,12315.66015625,12315.66015625,122780400,3.3943302827479815
2020-06-17,12312.4404296875,12432.23046875,12288.169921875,12382.1396484375,12382.1396484375,102040400,0.5397964164654434
2020-06-18,12347.490234375,12483.83984375,12189.669921875,12281.5302734375,12281.5302734375,154821700,-0.8125362647860013
2020-06-19,12375.1796875,12447.150390625,12319.1904296875,12330.759765625,12330.759765625,227975200,0.40084167926510705
2020-06-22,12194.48046875,12399.3701171875,12172.1201171875,12262.9697265625,12262.9697265625,91977200,-0.5497636832685782
2020-06-23,12360.08984375,12616.1201171875,12332.099609375,12523.759765625,12523.759765625,113421700,2.1266466841030285
2020-06-24,12459.8095703125,12489.240234375,12093.9404296875,12093.9404296875,12093.9404296875,102775200,-3.432031147046277
2020-06-25,12102.25,12236.4599609375,11957.3095703125,12177.8701171875,12177.8701171875,128245800,0.6939813205460776
2020-06-26,12308.48046875,12347.4501953125,12060.8896484375,12089.3896484375,12089.3896484375,111965200,-0.7265676830065848
2020-06-29,12090.41015625,12297.6796875,12045.259765625,12232.1201171875,12232.1201171875,121308400,1.1806259281952114
2020-06-30,12287.9404296875,12350.349609375,12188.08984375,12310.9296875,12310.9296875,124633200,0.6442838163579268
2020-07-01,12391.7197265625,12391.7197265625,12095.1103515625,12260.5703125,12260.5703125,81131500,-0.40906232330392145
2020-07-02,12378.7998046875,12658.169921875,12370.7197265625,12608.4599609375,12608.4599609375,103857000,2.83746709631294
2020-07-03,12644.599609375,12649.98046875,12476.1298828125,12528.1796875,12528.1796875,54014400,-0.636717518921559
2020-07-06,12774.76953125,12842.58984375,12655.2099609375,12733.4501953125,12733.4501953125,78193500,1.638470335936426
2020-07-07,12660.08984375,12661.1201171875,12525.1796875,12616.7998046875,12616.7998046875,78792300,-0.9160941365910502
2020-07-08,12542.580078125,12670.1904296875,12463.2197265625,12494.8095703125,12494.8095703125,74362600,-0.9668872952210639
2020-07-09,12639.169921875,12709.6796875,12459.16015625,12489.4599609375,12489.4599609375,76140500,-0.042814653115730295
2020-07-10,12442.2197265625,12649.990234375,12416.6904296875,12633.7099609375,12633.7099609375,72727400,1.1549738775828766
